,IDStation,NameStation,Date,Ammonia,CO,NO2,NOx,Ozone,PM10,PM25,Sulfur_dioxide,Wind_speed,Temperature,Relative_humidity,Global_radiation,Rainfall,Quadrante
103,677,Cremona Via Fatebenefratelli,2014-05-27,5.2,0.2,21.53333333333333,28.64166666666667,75.44166666666668,12.0,8.0,0.9541666666666668,1.2669605124408083,18.60833333333333,63.28333333333334,239.53333333333333,11.000000000000002,3
104,677,Cremona Via Fatebenefratelli,2014-05-28,4.4,0.2166666666666666,22.65833333333333,30.670833333333334,69.65833333333333,16.0,9.0,1.0583333333333331,0.3498501753433361,18.55,60.32083333333334,275.4875,6.4,4
105,677,Cremona Via Fatebenefratelli,2014-05-29,5.2,0.2125,28.304166666666667,36.32083333333333,60.85,22.0,11.0,0.9708333333333334,0.445355933714955,18.245833333333334,64.59166666666667,167.63333333333333,0.0,4
106,677,Cremona Via Fatebenefratelli,2014-05-30,12.5,0.2,27.479166666666668,34.94166666666667,71.9,22.0,17.0,0.3208333333333333,0.3813510079529587,21.59583333333333,52.35833333333333,312.1916666666667,0.0,4
107,677,Cremona Via Fatebenefratelli,2014-05-31,6.4,0.2,13.704166666666667,17.245833333333334,79.44583333333334,16.0,10.0,0.1958333333333333,1.9329271368745256,18.5625,63.395833333333336,208.725,4.6000000000000005,1
108,677,Cremona Via Fatebenefratelli,2014-06-01,8.6,0.2125,20.829166666666666,24.725,79.0125,20.0,17.0,1.2458333333333331,0.3913403367417242,20.012500000000003,50.725,272.55000000000007,0.0,1
109,677,Cremona Via Fatebenefratelli,2014-06-02,10.6,0.2,21.3,25.84166666666667,72.89166666666667,20.0,15.0,0.8791666666666668,0.6551102179850385,19.879166666666663,49.97916666666667,241.6708333333333,0.0,2
110,677,Cremona Via Fatebenefratelli,2014-06-03,8.700000000000001,0.2,32.22916666666667,39.87083333333334,64.90833333333333,24.0,21.0,1.0791666666666668,0.7868020130863886,19.9875,56.21666666666667,257.65833333333336,0.0,1
111,677,Cremona Via Fatebenefratelli,2014-06-04,8.9,0.1875,26.9875,35.45,80.73333333333335,33.0,25.0,1.0541666666666667,0.5030173900515033,20.54583333333333,55.204166666666666,206.4583333333333,0.0,1
112,677,Cremona Via Fatebenefratelli,2014-06-05,6.2,0.2041666666666667,26.137500000000003,33.06666666666667,76.7625,23.0,17.0,1.0625,0.7535130739134639,21.60833333333333,55.475,268.5708333333333,0.0,1
113,677,Cremona Via Fatebenefratelli,2014-06-07,9.4,0.2375,32.34166666666667,38.67083333333333,101.14583333333334,51.0,38.0,0.4958333333333334,0.4931263396752707,25.0625,50.17083333333333,297.2625,0.0,4
114,677,Cremona Via Fatebenefratelli,2014-06-08,8.700000000000001,0.2958333333333333,36.50833333333334,41.975,107.0,46.0,31.0,0.425,0.1970578877988121,26.995833333333334,49.36666666666667,301.425,0.0,4
115,677,Cremona Via Fatebenefratelli,2014-06-09,10.6,0.2541666666666667,43.8375,51.1,106.84583333333336,41.0,34.0,1.7375,1.1678729393192773,27.65833333333333,48.74166666666667,295.9833333333333,0.0,1
116,677,Cremona Via Fatebenefratelli,2014-06-10,8.5,0.225,37.04583333333333,44.02916666666667,92.6625,35.0,26.0,1.6958333333333333,0.961039332532184,28.258333333333333,43.56666666666667,321.5625,0.0,1
117,677,Cremona Via Fatebenefratelli,2014-06-11,9.9,0.2875,47.94583333333334,61.81666666666667,104.15833333333336,43.0,29.0,1.3958333333333337,0.6909186242250178,28.616666666666667,43.05833333333334,306.46250000000003,0.0,4
118,677,Cremona Via Fatebenefratelli,2014-06-12,,0.2,34.54615384615385,42.16153846153846,80.65384615384616,,,1.1153846153846154,0.9851935127219084,26.061538461538465,45.33076923076924,258.6923076923077,0.0,4
119,677,Cremona Via Fatebenefratelli,2014-06-13,,0.32,22.36,28.4,156.65333333333334,,,0.7866666666666667,0.6887106559659386,30.24,35.52666666666667,451.5733333333333,0.0,4
120,677,Cremona Via Fatebenefratelli,2014-06-14,13.0,0.2125,16.595833333333335,21.745833333333334,96.74583333333334,21.0,12.0,0.4083333333333334,1.6216558877948992,23.65833333333333,63.650000000000006,292.33750000000003,3.6000000000000005,1
121,677,Cremona Via Fatebenefratelli,2014-06-15,10.0,0.1708333333333333,14.35,18.570833333333333,76.775,14.0,10.0,1.2000000000000002,1.5115676842128765,20.9625,66.07083333333334,219.71666666666667,3.6,1
122,677,Cremona Via Fatebenefratelli,2014-06-16,11.1,0.15,28.804166666666667,37.2625,63.37916666666667,16.0,12.0,1.4333333333333331,1.6693502566479128,21.47083333333333,50.6375,249.38333333333333,0.0,1
123,677,Cremona Via Fatebenefratelli,2014-06-17,11.5,0.1791666666666666,27.754166666666663,34.94166666666667,67.10000000000001,27.0,19.0,0.8166666666666668,1.160534510927252,20.64166666666667,58.44166666666667,208.61250000000004,2.8000000000000003,1
124,677,Cremona Via Fatebenefratelli,2014-06-18,11.6,0.2041666666666666,26.4125,34.1,80.80833333333334,20.0,17.0,0.7583333333333334,0.44993686925332,20.875,56.125,231.9916666666667,0.2,4
125,677,Cremona Via Fatebenefratelli,2014-06-19,12.7,0.2375,32.94583333333333,41.19583333333333,74.77916666666667,26.0,20.0,0.9,1.008306110402072,24.280412371134023,44.76082474226804,368.34536082474233,0.0,4
126,677,Cremona Via Fatebenefratelli,2014-06-20,12.4,0.2333333333333333,28.270833333333336,37.2,91.65833333333332,26.0,18.0,1.1166666666666667,1.2415485162014774,24.26805555555556,46.04930555555556,310.9791666666667,0.0,4
127,677,Cremona Via Fatebenefratelli,2014-06-21,11.5,0.2,21.08333333333333,25.4875,98.475,28.0,16.0,0.9666666666666668,1.2873862576253698,23.441666666666663,56.16875,228.7076388888889,0.0,1
128,677,Cremona Via Fatebenefratelli,2014-06-22,12.9,0.2,19.4375,23.8125,99.38333333333334,40.0,29.0,1.1791666666666667,0.699007437224261,24.54305555555556,62.32222222222222,241.37500000000003,0.2,1
129,677,Cremona Via Fatebenefratelli,2014-06-23,12.0,0.2041666666666667,25.241666666666667,31.445833333333333,85.22083333333333,29.0,20.0,1.7583333333333335,0.4121901499916581,25.540972222222223,54.68750000000001,264.74791666666675,0.2,4
